Year,OSHPD_ID,Facility_Name,County_Name,Type_Of_Control,ED_Level,Patient_Type,Gender,Count
2010,106100899,ST. AGNES MEDICAL CENTER,FRESNO,Nonprofit - Corporation,Emergency - Basic,ED Admit,Female,8838
2010,106100899,ST. AGNES MEDICAL CENTER,FRESNO,Nonprofit - Corporation,Emergency - Basic,ED Visit,Unknown,2
2010,106100899,ST. AGNES MEDICAL CENTER,FRESNO,Nonprofit - Corporation,Emergency - Basic,ED Admit,Male,6726
2011,106100899,ST. AGNES MEDICAL CENTER,FRESNO,Nonprofit - Corporation,Emergency - Basic,ED Visit,Male,21947
2011,106100899,ST. AGNES MEDICAL CENTER,FRESNO,Nonprofit - Corporation,Emergency - Basic,ED Visit,Female,34298
2011,106100899,ST. AGNES MEDICAL CENTER,FRESNO,Nonprofit - Corporation,Emergency - Basic,ED Admit,Female,9027
2011,106100899,ST. AGNES MEDICAL CENTER,FRESNO,Nonprofit - Corporation,Emergency - Basic,ED Visit,Other,1
2011,106100899,ST. AGNES MEDICAL CENTER,FRESNO,Nonprofit - Corporation,Emergency - Basic,ED Admit,Male,6813
2012,106100899,ST. AGNES MEDICAL CENTER,FRESNO,Nonprofit - Corporation,Emergency - Basic,ED Visit,Male,20141
2012,106100899,ST. AGNES MEDICAL CENTER,FRESNO,Nonprofit - Corporation,Emergency - Basic,ED Visit,Female,33572
2012,106100899,ST. AGNES MEDICAL CENTER,FRESNO,Nonprofit - Corporation,Emergency - Basic,ED Admit,Female,8127
2012,106100899,ST. AGNES MEDICAL CENTER,FRESNO,Nonprofit - Corporation,Emergency - Basic,ED Admit,Male,6263
2013,106100899,ST. AGNES MEDICAL CENTER,FRESNO,Nonprofit - Corporation,Emergency - Basic,ED Visit,Male,22033
2013,106100899,ST. AGNES MEDICAL CENTER,FRESNO,Nonprofit - Corporation,Emergency - Basic,ED Visit,Female,36193
2013,106100899,ST. AGNES MEDICAL CENTER,FRESNO,Nonprofit - Corporation,Emergency - Basic,ED Admit,Female,6638
2013,106100899,ST. AGNES MEDICAL CENTER,FRESNO,Nonprofit - Corporation,Emergency - Basic,ED Admit,Male,5125
2014,106100899,ST. AGNES MEDICAL CENTER,FRESNO,Nonprofit - Corporation,Emergency - Basic,ED Visit,Male,25205
2014,106100899,ST. AGNES MEDICAL CENTER,FRESNO,Nonprofit - Corporation,Emergency - Basic,ED Admit,Female,5958
2014,106100899,ST. AGNES MEDICAL CENTER,FRESNO,Nonprofit - Corporation,Emergency - Basic,ED Admit,Male,4494
2010,106104062,KAISER FOUNDATION HOSPITAL - FRESNO,FRESNO,Nonprofit - Corporation,Emergency - Basic,ED Visit,Male,9084
2010,106104062,KAISER FOUNDATION HOSPITAL - FRESNO,FRESNO,Nonprofit - Corporation,Emergency - Basic,ED Visit,Female,12043
2010,106104062,KAISER FOUNDATION HOSPITAL - FRESNO,FRESNO,Nonprofit - Corporation,Emergency - Basic,ED Admit,Female,2425
2010,106104062,KAISER FOUNDATION HOSPITAL - FRESNO,FRESNO,Nonprofit - Corporation,Emergency - Basic,ED Visit,Unknown,2
2010,106104062,KAISER FOUNDATION HOSPITAL - FRESNO,FRESNO,Nonprofit - Corporation,Emergency - Basic,ED Admit,Male,1999
2011,106104062,KAISER FOUNDATION HOSPITAL - FRESNO,FRESNO,Nonprofit - Corporation,Emergency - Basic,ED Visit,Male,10143
2011,106104062,KAISER FOUNDATION HOSPITAL - FRESNO,FRESNO,Nonprofit - Corporation,Emergency - Basic,ED Visit,Female,13332
2011,106104062,KAISER FOUNDATION HOSPITAL - FRESNO,FRESNO,Nonprofit - Corporation,Emergency - Basic,ED Admit,Female,2412
2011,106104062,KAISER FOUNDATION HOSPITAL - FRESNO,FRESNO,Nonprofit - Corporation,Emergency - Basic,ED Visit,Unknown,1
2011,106104062,KAISER FOUNDATION HOSPITAL - FRESNO,FRESNO,Nonprofit - Corporation,Emergency - Basic,ED Admit,Male,2040
2012,106104062,KAISER FND HOSP - FRESNO,FRESNO,Nonprofit - Corporation,Emergency - Basic,ED Visit,Male,10308
2012,106104062,KAISER FND HOSP - FRESNO,FRESNO,Nonprofit - Corporation,Emergency - Basic,ED Visit,Female,14082
2012,106104062,KAISER FND HOSP - FRESNO,FRESNO,Nonprofit - Corporation,Emergency - Basic,ED Admit,Female,2348
2012,106104062,KAISER FND HOSP - FRESNO,FRESNO,Nonprofit - Corporation,Emergency - Basic,ED Visit,Unknown,1
2012,106104062,KAISER FND HOSP - FRESNO,FRESNO,Nonprofit - Corporation,Emergency - Basic,ED Admit,Male,1914
2013,106104062,KAISER FOUNDATION HOSPITAL - FRESNO,FRESNO,Nonprofit - Corporation,Emergency - Basic,ED Visit,Male,10404
2013,106104062,KAISER FOUNDATION HOSPITAL - FRESNO,FRESNO,Nonprofit - Corporation,Emergency - Basic,ED Visit,Female,14752
2013,106104062,KAISER FOUNDATION HOSPITAL - FRESNO,FRESNO,Nonprofit - Corporation,Emergency - Basic,ED Admit,Female,2363
2013,106104062,KAISER FOUNDATION HOSPITAL - FRESNO,FRESNO,Nonprofit - Corporation,Emergency - Basic,ED Admit,Male,1965
2013,106104062,KAISER FOUNDATION HOSPITAL - FRESNO,FRESNO,Nonprofit - Corporation,Emergency - Basic,ED Admit,Unknown,2
2014,106104062,KAISER FND HOSP - FRESNO,FRESNO,Nonprofit - Corporation,Emergency - Basic,ED Visit,Male,11638
2014,106104062,KAISER FND HOSP - FRESNO,FRESNO,Nonprofit - Corporation,Emergency - Basic,ED Admit,Female,2187
2014,106104062,KAISER FND HOSP - FRESNO,FRESNO,Nonprofit - Corporation,Emergency - Basic,ED Admit,Male,1816
2010,106110889,GLENN MEDICAL CENTER,GLENN,Nonprofit - Corporation,Emergency - Standby,ED Visit,Male,2103
2010,106110889,GLENN MEDICAL CENTER,GLENN,Nonprofit - Corporation,Emergency - Standby,ED Visit,Female,2395
2010,106110889,GLENN MEDICAL CENTER,GLENN,Nonprofit - Corporation,Emergency - Standby,ED Admit,Female,183
2010,106110889,GLENN MEDICAL CENTER,GLENN,Nonprofit - Corporation,Emergency - Standby,ED Visit,Unknown,1
2010,106110889,GLENN MEDICAL CENTER,GLENN,Nonprofit - Corporation,Emergency - Standby,ED Admit,Male,141
2011,106110889,GLENN MEDICAL CENTER,GLENN,Nonprofit - Corporation,Emergency - Standby,ED Visit,Male,2170
2011,106110889,GLENN MEDICAL CENTER,GLENN,Nonprofit - Corporation,Emergency - Standby,ED Visit,Female,2513
2011,106110889,GLENN MEDICAL CENTER,GLENN,Nonprofit - Corporation,Emergency - Standby,ED Admit,Female,198
2011,106110889,GLENN MEDICAL CENTER,GLENN,Nonprofit - Corporation,Emergency - Standby,ED Admit,Male,116
2012,106110889,GLENN MEDICAL CENTER,GLENN,Nonprofit - Corporation,Emergency - Standby,ED Visit,Male,2371
2012,106110889,GLENN MEDICAL CENTER,GLENN,Nonprofit - Corporation,Emergency - Standby,ED Visit,Female,2803
2012,106110889,GLENN MEDICAL CENTER,GLENN,Nonprofit - Corporation,Emergency - Standby,ED Admit,Female,172
2012,106110889,GLENN MEDICAL CENTER,GLENN,Nonprofit - Corporation,Emergency - Standby,ED Admit,Male,124
2013,106110889,GLENN MEDICAL CENTER,GLENN,Nonprofit - Corporation,Emergency - Standby,ED Visit,Male,2378
2013,106110889,GLENN MEDICAL CENTER,GLENN,Nonprofit - Corporation,Emergency - Standby,ED Visit,Female,2752
2013,106110889,GLENN MEDICAL CENTER,GLENN,Nonprofit - Corporation,Emergency - Standby,ED Admit,Female,91
2013,106110889,GLENN MEDICAL CENTER,GLENN,Nonprofit - Corporation,Emergency - Standby,ED Admit,Male,75
2014,106110889,GLENN MEDICAL CENTER,GLENN,Nonprofit - Corporation,Emergency - Standby,ED Visit,Male,2202
2014,106110889,GLENN MEDICAL CENTER,GLENN,Nonprofit - Corporation,Emergency - Standby,ED Admit,Female,124
2014,106110889,GLENN MEDICAL CENTER,GLENN,Nonprofit - Corporation,Emergency - Standby,ED Admit,Male,104
2010,106121002,MAD RIVER COMMUNITY HOSPITAL,HUMBOLDT,Investor - Corporation,Emergency - Basic,ED Visit,Male,6461
2010,106121002,MAD RIVER COMMUNITY HOSPITAL,HUMBOLDT,Investor - Corporation,Emergency - Basic,ED Visit,Female,6951
2010,106121002,MAD RIVER COMMUNITY HOSPITAL,HUMBOLDT,Investor - Corporation,Emergency - Basic,ED Admit,Female,675
2010,106121002,MAD RIVER COMMUNITY HOSPITAL,HUMBOLDT,Investor - Corporation,Emergency - Basic,ED Visit,Unknown,4
2010,106121002,MAD RIVER COMMUNITY HOSPITAL,HUMBOLDT,Investor - Corporation,Emergency - Basic,ED Admit,Male,590
2011,106121002,MAD RIVER COMMUNITY HOSPITAL,HUMBOLDT,Investor - Corporation,Emergency - Basic,ED Visit,Male,6797
2011,106121002,MAD RIVER COMMUNITY HOSPITAL,HUMBOLDT,Investor - Corporation,Emergency - Basic,ED Visit,Female,7139
2011,106121002,MAD RIVER COMMUNITY HOSPITAL,HUMBOLDT,Investor - Corporation,Emergency - Basic,ED Admit,Female,566
2011,106121002,MAD RIVER COMMUNITY HOSPITAL,HUMBOLDT,Investor - Corporation,Emergency - Basic,ED Visit,Unknown,1
2011,106121002,MAD RIVER COMMUNITY HOSPITAL,HUMBOLDT,Investor - Corporation,Emergency - Basic,ED Admit,Male,497
2012,106121002,MAD RIVER COMMUNITY HOSPITAL,HUMBOLDT,Investor - Corporation,Emergency - Basic,ED Visit,Male,6807
2012,106121002,MAD RIVER COMMUNITY HOSPITAL,HUMBOLDT,Investor - Corporation,Emergency - Basic,ED Visit,Female,7232
2012,106121002,MAD RIVER COMMUNITY HOSPITAL,HUMBOLDT,Investor - Corporation,Emergency - Basic,ED Admit,Female,589
2012,106121002,MAD RIVER COMMUNITY HOSPITAL,HUMBOLDT,Investor - Corporation,Emergency - Basic,ED Visit,Unknown,5
2012,106121002,MAD RIVER COMMUNITY HOSPITAL,HUMBOLDT,Investor - Corporation,Emergency - Basic,ED Admit,Male,589
2013,106121002,MAD RIVER COMMUNITY HOSPITAL,HUMBOLDT,Investor - Corporation,Emergency - Basic,ED Visit,Male,6527
2013,106121002,MAD RIVER COMMUNITY HOSPITAL,HUMBOLDT,Investor - Corporation,Emergency - Basic,ED Visit,Female,7017
2013,106121002,MAD RIVER COMMUNITY HOSPITAL,HUMBOLDT,Investor - Corporation,Emergency - Basic,ED Admit,Female,615
2013,106121002,MAD RIVER COMMUNITY HOSPITAL,HUMBOLDT,Investor - Corporation,Emergency - Basic,ED Visit,Unknown,1
2013,106121002,MAD RIVER COMMUNITY HOSPITAL,HUMBOLDT,Investor - Corporation,Emergency - Basic,ED Admit,Male,638
2014,106121002,MAD RIVER COMMUNITY HOSPITAL,HUMBOLDT,Investor - Corporation,Emergency - Basic,ED Visit,Male,7132
2014,106121002,MAD RIVER COMMUNITY HOSPITAL,HUMBOLDT,Investor - Corporation,Emergency - Basic,ED Admit,Female,1199
2014,106121002,MAD RIVER COMMUNITY HOSPITAL,HUMBOLDT,Investor - Corporation,Emergency - Basic,ED Admit,Male,609
2010,106121031,JEROLD PHELPS COMMUNITY HOSPITAL,HUMBOLDT,Public - District,Emergency - Standby,ED Visit,Male,1527
2010,106121031,JEROLD PHELPS COMMUNITY HOSPITAL,HUMBOLDT,Public - District,Emergency - Standby,ED Visit,Female,1171
2010,106121031,JEROLD PHELPS COMMUNITY HOSPITAL,HUMBOLDT,Public - District,Emergency - Standby,ED Admit,Female,14
2010,106121031,JEROLD PHELPS COMMUNITY HOSPITAL,HUMBOLDT,Public - District,Emergency - Standby,ED Admit,Male,21
2011,106121031,JEROLD PHELPS COMMUNITY HOSPITAL,HUMBOLDT,Public - District,Emergency - Standby,ED Visit,Male,1496
2011,106121031,JEROLD PHELPS COMMUNITY HOSPITAL,HUMBOLDT,Public - District,Emergency - Standby,ED Visit,Female,1068
2011,106121031,JEROLD PHELPS COMMUNITY HOSPITAL,HUMBOLDT,Public - District,Emergency - Standby,ED Admit,Female,8
2011,106121031,JEROLD PHELPS COMMUNITY HOSPITAL,HUMBOLDT,Public - District,Emergency - Standby,ED Admit,Male,28
2012,106121031,JEROLD PHELPS COMMUNITY HOSPITAL,HUMBOLDT,Public - District,Emergency - Standby,ED Visit,Male,1490
2012,106121031,JEROLD PHELPS COMMUNITY HOSPITAL,HUMBOLDT,Public - District,Emergency - Standby,ED Visit,Female,1180
2012,106121031,JEROLD PHELPS COMMUNITY HOSPITAL,HUMBOLDT,Public - District,Emergency - Standby,ED Admit,Female,7
2012,106121031,JEROLD PHELPS COMMUNITY HOSPITAL,HUMBOLDT,Public - District,Emergency - Standby,ED Admit,Male,14
2013,106121031,JEROLD PHELPS COMMUNITY HOSPITAL,HUMBOLDT,Public - District,Emergency - Standby,ED Visit,Male,1600
2013,106121031,JEROLD PHELPS COMMUNITY HOSPITAL,HUMBOLDT,Public - District,Emergency - Standby,ED Visit,Female,1210
2013,106121031,JEROLD PHELPS COMMUNITY HOSPITAL,HUMBOLDT,Public - District,Emergency - Standby,ED Admit,Female,6
2013,106121031,JEROLD PHELPS COMMUNITY HOSPITAL,HUMBOLDT,Public - District,Emergency - Standby,ED Admit,Male,15
2014,106121031,JEROLD PHELPS COMMUNITY HOSPITAL,HUMBOLDT,Public - District,Emergency - Standby,ED Visit,Male,1632
2014,106121031,JEROLD PHELPS COMMUNITY HOSPITAL,HUMBOLDT,Public - District,Emergency - Standby,ED Admit,Female,5
2014,106121031,JEROLD PHELPS COMMUNITY HOSPITAL,HUMBOLDT,Public - District,Emergency - Standby,ED Admit,Male,9
2010,106121051,REDWOOD MEMORIAL HOSPITAL,HUMBOLDT,Nonprofit - Corporation,Emergency - Basic,ED Visit,Male,5038
2010,106121051,REDWOOD MEMORIAL HOSPITAL,HUMBOLDT,Nonprofit - Corporation,Emergency - Basic,ED Visit,Female,5742
2010,106121051,REDWOOD MEMORIAL HOSPITAL,HUMBOLDT,Nonprofit - Corporation,Emergency - Basic,ED Admit,Female,445
2010,106121051,REDWOOD MEMORIAL HOSPITAL,HUMBOLDT,Nonprofit - Corporation,Emergency - Basic,ED Admit,Male,342
2011,106121051,REDWOOD MEMORIAL HOSPITAL,HUMBOLDT,Nonprofit - Corporation,Emergency - Basic,ED Visit,Male,4954
2011,106121051,REDWOOD MEMORIAL HOSPITAL,HUMBOLDT,Nonprofit - Corporation,Emergency - Basic,ED Visit,Female,5755
2011,106121051,REDWOOD MEMORIAL HOSPITAL,HUMBOLDT,Nonprofit - Corporation,Emergency - Basic,ED Admit,Female,411
2011,106121051,REDWOOD MEMORIAL HOSPITAL,HUMBOLDT,Nonprofit - Corporation,Emergency - Basic,ED Admit,Male,326
2012,106121051,REDWOOD MEMORIAL HOSPITAL,HUMBOLDT,Nonprofit - Corporation,Emergency - Basic,ED Visit,Male,5153
2012,106121051,REDWOOD MEMORIAL HOSPITAL,HUMBOLDT,Nonprofit - Corporation,Emergency - Basic,ED Visit,Female,6201
2012,106121051,REDWOOD MEMORIAL HOSPITAL,HUMBOLDT,Nonprofit - Corporation,Emergency - Basic,ED Admit,Female,484
2012,106121051,REDWOOD MEMORIAL HOSPITAL,HUMBOLDT,Nonprofit - Corporation,Emergency - Basic,ED Admit,Male,400
2013,106121051,REDWOOD MEMORIAL HOSPITAL,HUMBOLDT,Nonprofit - Corporation,Emergency - Basic,ED Visit,Male,5249
2013,106121051,REDWOOD MEMORIAL HOSPITAL,HUMBOLDT,Nonprofit - Corporation,Emergency - Basic,ED Visit,Female,6016
2013,106121051,REDWOOD MEMORIAL HOSPITAL,HUMBOLDT,Nonprofit - Corporation,Emergency - Basic,ED Admit,Female,445
2013,106121051,REDWOOD MEMORIAL HOSPITAL,HUMBOLDT,Nonprofit - Corporation,Emergency - Basic,ED Admit,Male,384
2014,106121051,REDWOOD MEMORIAL HOSPITAL,HUMBOLDT,Nonprofit - Corporation,Emergency - Basic,ED Visit,Male,4973
2014,106121051,REDWOOD MEMORIAL HOSPITAL,HUMBOLDT,Nonprofit - Corporation,Emergency - Basic,ED Admit,Female,428
2014,106121051,REDWOOD MEMORIAL HOSPITAL,HUMBOLDT,Nonprofit - Corporation,Emergency - Basic,ED Admit,Male,395
2010,106121080,ST. JOSEPH HOSPITAL - EUREKA,HUMBOLDT,Nonprofit - Corporation,Emergency - Basic,ED Visit,Male,9413
2010,106121080,ST. JOSEPH HOSPITAL - EUREKA,HUMBOLDT,Nonprofit - Corporation,Emergency - Basic,ED Visit,Female,10157
2010,106121080,ST. JOSEPH HOSPITAL - EUREKA,HUMBOLDT,Nonprofit - Corporation,Emergency - Basic,ED Admit,Female,1707
2010,106121080,ST. JOSEPH HOSPITAL - EUREKA,HUMBOLDT,Nonprofit - Corporation,Emergency - Basic,ED Admit,Male,1765
2011,106121080,ST. JOSEPH HOSPITAL - EUREKA,HUMBOLDT,Nonprofit - Corporation,Emergency - Basic,ED Visit,Male,9296
2011,106121080,ST. JOSEPH HOSPITAL - EUREKA,HUMBOLDT,Nonprofit - Corporation,Emergency - Basic,ED Visit,Female,10040
2011,106121080,ST. JOSEPH HOSPITAL - EUREKA,HUMBOLDT,Nonprofit - Corporation,Emergency - Basic,ED Admit,Female,1759
2011,106121080,ST. JOSEPH HOSPITAL - EUREKA,HUMBOLDT,Nonprofit - Corporation,Emergency - Basic,ED Admit,Male,1814
2012,106121080,ST. JOSEPH HOSPITAL - EUREKA,HUMBOLDT,Nonprofit - Corporation,Emergency - Basic,ED Visit,Male,9913
2012,106121080,ST. JOSEPH HOSPITAL - EUREKA,HUMBOLDT,Nonprofit - Corporation,Emergency - Basic,ED Visit,Female,10415
2012,106121080,ST. JOSEPH HOSPITAL - EUREKA,HUMBOLDT,Nonprofit - Corporation,Emergency - Basic,ED Admit,Female,1959
2012,106121080,ST. JOSEPH HOSPITAL - EUREKA,HUMBOLDT,Nonprofit - Corporation,Emergency - Basic,ED Visit,Unknown,1
2012,106121080,ST. JOSEPH HOSPITAL - EUREKA,HUMBOLDT,Nonprofit - Corporation,Emergency - Basic,ED Admit,Male,1928
2013,106121080,ST. JOSEPH HOSPITAL - EUREKA,HUMBOLDT,Nonprofit - Corporation,Emergency - Basic,ED Visit,Male,13943
2013,106121080,ST. JOSEPH HOSPITAL - EUREKA,HUMBOLDT,Nonprofit - Corporation,Emergency - Basic,ED Visit,Female,14747
2013,106121080,ST. JOSEPH HOSPITAL - EUREKA,HUMBOLDT,Nonprofit - Corporation,Emergency - Basic,ED Admit,Female,1953
2013,106121080,ST. JOSEPH HOSPITAL - EUREKA,HUMBOLDT,Nonprofit - Corporation,Emergency - Basic,ED Visit,Unknown,2
2013,106121080,ST. JOSEPH HOSPITAL - EUREKA,HUMBOLDT,Nonprofit - Corporation,Emergency - Basic,ED Admit,Male,2198
2014,106121080,ST. JOSEPH HOSPITAL - EUREKA,HUMBOLDT,Nonprofit - Corporation,Emergency - Basic,ED Visit,Male,13070
2014,106121080,ST. JOSEPH HOSPITAL - EUREKA,HUMBOLDT,Nonprofit - Corporation,Emergency - Basic,ED Admit,Female,2002
2014,106121080,ST. JOSEPH HOSPITAL - EUREKA,HUMBOLDT,Nonprofit - Corporation,Emergency - Basic,ED Admit,Male,2223
2010,106130699,EL CENTRO REGIONAL MEDICAL CENTER,IMPERIAL,Public - City or County,Emergency - Basic,ED Visit,Male,18825
2010,106130699,EL CENTRO REGIONAL MEDICAL CENTER,IMPERIAL,Public - City or County,Emergency - Basic,ED Visit,Female,21177
2010,106130699,EL CENTRO REGIONAL MEDICAL CENTER,IMPERIAL,Public - City or County,Emergency - Basic,ED Admit,Female,2135
2010,106130699,EL CENTRO REGIONAL MEDICAL CENTER,IMPERIAL,Public - City or County,Emergency - Basic,ED Admit,Male,2333
2011,106130699,EL CENTRO REGIONAL MEDICAL CENTER,IMPERIAL,Public - City or County,Emergency - Basic,ED Visit,Male,18729
2011,106130699,EL CENTRO REGIONAL MEDICAL CENTER,IMPERIAL,Public - City or County,Emergency - Basic,ED Visit,Female,21356
2011,106130699,EL CENTRO REGIONAL MEDICAL CENTER,IMPERIAL,Public - City or County,Emergency - Basic,ED Admit,Female,1989
2011,106130699,EL CENTRO REGIONAL MEDICAL CENTER,IMPERIAL,Public - City or County,Emergency - Basic,ED Visit,Unknown,6
2011,106130699,EL CENTRO REGIONAL MEDICAL CENTER,IMPERIAL,Public - City or County,Emergency - Basic,ED Admit,Male,2224
2012,106130699,EL CENTRO REGIONAL MEDICAL CENTER,IMPERIAL,Public - City or County,Emergency - Basic,ED Visit,Male,18712
2012,106130699,EL CENTRO REGIONAL MEDICAL CENTER,IMPERIAL,Public - City or County,Emergency - Basic,ED Visit,Female,22025
2012,106130699,EL CENTRO REGIONAL MEDICAL CENTER,IMPERIAL,Public - City or County,Emergency - Basic,ED Admit,Female,2316
2012,106130699,EL CENTRO REGIONAL MEDICAL CENTER,IMPERIAL,Public - City or County,Emergency - Basic,ED Visit,Unknown,7
2012,106130699,EL CENTRO REGIONAL MEDICAL CENTER,IMPERIAL,Public - City or County,Emergency - Basic,ED Admit,Male,2507
2013,106130699,EL CENTRO REGIONAL MEDICAL CENTER,IMPERIAL,Public - City or County,Emergency - Basic,ED Visit,Male,19993
2013,106130699,EL CENTRO REGIONAL MEDICAL CENTER,IMPERIAL,Public - City or County,Emergency - Basic,ED Visit,Female,24067
2013,106130699,EL CENTRO REGIONAL MEDICAL CENTER,IMPERIAL,Public - City or County,Emergency - Basic,ED Admit,Female,2014
2013,106130699,EL CENTRO REGIONAL MEDICAL CENTER,IMPERIAL,Public - City or County,Emergency - Basic,ED Admit,Male,2193
2014,106130699,EL CENTRO REGIONAL MEDICAL CENTER,IMPERIAL,Public - City or County,Emergency - Basic,ED Visit,Male,20887
2014,106130699,EL CENTRO REGIONAL MEDICAL CENTER,IMPERIAL,Public - City or County,Emergency - Basic,ED Admit,Female,1620
2014,106130699,EL CENTRO REGIONAL MEDICAL CENTER,IMPERIAL,Public - City or County,Emergency - Basic,ED Admit,Male,1834
2010,106130760,PIONEERS MEMORIAL HEALTHCARE DISTRICT,IMPERIAL,Public - District,Emergency - Basic,ED Visit,Male,17182
2010,106130760,PIONEERS MEMORIAL HEALTHCARE DISTRICT,IMPERIAL,Public - District,Emergency - Basic,ED Visit,Female,21514
2010,106130760,PIONEERS MEMORIAL HEALTHCARE DISTRICT,IMPERIAL,Public - District,Emergency - Basic,ED Admit,Female,1878
2010,106130760,PIONEERS MEMORIAL HEALTHCARE DISTRICT,IMPERIAL,Public - District,Emergency - Basic,ED Visit,Unknown,6
2010,106130760,PIONEERS MEMORIAL HEALTHCARE DISTRICT,IMPERIAL,Public - District,Emergency - Basic,ED Admit,Male,1924
2010,106130760,PIONEERS MEMORIAL HEALTHCARE DISTRICT,IMPERIAL,Public - District,Emergency - Basic,ED Admit,Unknown,1
2011,106130760,PIONEERS MEMORIAL HEALTHCARE DISTRICT,IMPERIAL,Public - District,Emergency - Basic,ED Visit,Male,17012
2011,106130760,PIONEERS MEMORIAL HEALTHCARE DISTRICT,IMPERIAL,Public - District,Emergency - Basic,ED Visit,Female,21605
2011,106130760,PIONEERS MEMORIAL HEALTHCARE DISTRICT,IMPERIAL,Public - District,Emergency - Basic,ED Admit,Female,1555
2011,106130760,PIONEERS MEMORIAL HEALTHCARE DISTRICT,IMPERIAL,Public - District,Emergency - Basic,ED Visit,Unknown,2
2011,106130760,PIONEERS MEMORIAL HEALTHCARE DISTRICT,IMPERIAL,Public - District,Emergency - Basic,ED Admit,Male,1538
2012,106130760,PIONEERS MEMORIAL HEALTHCARE DISTRICT,IMPERIAL,Public - District,Emergency - Basic,ED Visit,Male,17713
2012,106130760,PIONEERS MEMORIAL HEALTHCARE DISTRICT,IMPERIAL,Public - District,Emergency - Basic,ED Visit,Female,22691
2012,106130760,PIONEERS MEMORIAL HEALTHCARE DISTRICT,IMPERIAL,Public - District,Emergency - Basic,ED Admit,Female,1366
2012,106130760,PIONEERS MEMORIAL HEALTHCARE DISTRICT,IMPERIAL,Public - District,Emergency - Basic,ED Visit,Unknown,1
2012,106130760,PIONEERS MEMORIAL HEALTHCARE DISTRICT,IMPERIAL,Public - District,Emergency - Basic,ED Admit,Male,1303
2013,106130760,PIONEERS MEMORIAL HEALTHCARE DISTRICT,IMPERIAL,Public - District,Emergency - Basic,ED Visit,Male,17724
2013,106130760,PIONEERS MEMORIAL HEALTHCARE DISTRICT,IMPERIAL,Public - District,Emergency - Basic,ED Visit,Female,22467
2013,106130760,PIONEERS MEMORIAL HEALTHCARE DISTRICT,IMPERIAL,Public - District,Emergency - Basic,ED Admit,Female,1110
2013,106130760,PIONEERS MEMORIAL HEALTHCARE DISTRICT,IMPERIAL,Public - District,Emergency - Basic,ED Visit,Unknown,3
2013,106130760,PIONEERS MEMORIAL HEALTHCARE DISTRICT,IMPERIAL,Public - District,Emergency - Basic,ED Admit,Male,1121
2014,106130760,PIONEERS MEMORIAL HEALTHCARE DISTRICT,IMPERIAL,Public - District,Emergency - Basic,ED Visit,Male,18445
2014,106130760,PIONEERS MEMORIAL HEALTHCARE DISTRICT,IMPERIAL,Public - District,Emergency - Basic,ED Admit,Female,1101
2014,106130760,PIONEERS MEMORIAL HEALTHCARE DISTRICT,IMPERIAL,Public - District,Emergency - Basic,ED Admit,Male,1100
2010,106141273,NORTHERN INYO HOSPITAL,INYO,Public - District,Emergency - Basic,ED Visit,Male,3292
2010,106141273,NORTHERN INYO HOSPITAL,INYO,Public - District,Emergency - Basic,ED Visit,Female,3511
2010,106141273,NORTHERN INYO HOSPITAL,INYO,Public - District,Emergency - Basic,ED Admit,Female,254
2010,106141273,NORTHERN INYO HOSPITAL,INYO,Public - District,Emergency - Basic,ED Admit,Male,249
2011,106141273,NORTHERN INYO HOSPITAL,INYO,Public - District,Emergency - Basic,ED Visit,Male,3510
2011,106141273,NORTHERN INYO HOSPITAL,INYO,Public - District,Emergency - Basic,ED Visit,Female,3561
2011,106141273,NORTHERN INYO HOSPITAL,INYO,Public - District,Emergency - Basic,ED Admit,Female,272
2011,106141273,NORTHERN INYO HOSPITAL,INYO,Public - District,Emergency - Basic,ED Admit,Male,227
2012,106141273,NORTHERN INYO HOSPITAL,INYO,Public - District,Emergency - Basic,ED Visit,Male,3747
2012,106141273,NORTHERN INYO HOSPITAL,INYO,Public - District,Emergency - Basic,ED Visit,Female,3995
2012,106141273,NORTHERN INYO HOSPITAL,INYO,Public - District,Emergency - Basic,ED Admit,Female,263
2012,106141273,NORTHERN INYO HOSPITAL,INYO,Public - District,Emergency - Basic,ED Visit,Unknown,1
2012,106141273,NORTHERN INYO HOSPITAL,INYO,Public - District,Emergency - Basic,ED Admit,Male,228
2013,106141273,NORTHERN INYO HOSPITAL,INYO,Public - District,Emergency - Basic,ED Visit,Male,3600
2013,106141273,NORTHERN INYO HOSPITAL,INYO,Public - District,Emergency - Basic,ED Visit,Female,3897
2013,106141273,NORTHERN INYO HOSPITAL,INYO,Public - District,Emergency - Basic,ED Admit,Female,241
2013,106141273,NORTHERN INYO HOSPITAL,INYO,Public - District,Emergency - Basic,ED Visit,Unknown,1
2013,106141273,NORTHERN INYO HOSPITAL,INYO,Public - District,Emergency - Basic,ED Admit,Male,190
2014,106141273,NORTHERN INYO HOSPITAL,INYO,Public - District,Emergency - Basic,ED Visit,Male,3804
2014,106141273,NORTHERN INYO HOSPITAL,INYO,Public - District,Emergency - Basic,ED Admit,Female,285
2014,106141273,NORTHERN INYO HOSPITAL,INYO,Public - District,Emergency - Basic,ED Admit,Male,234
2010,106141338,SOUTHERN INYO HOSPITAL,INYO,Public - District,Emergency - Standby,ED Visit,Male,738
2010,106141338,SOUTHERN INYO HOSPITAL,INYO,Public - District,Emergency - Standby,ED Visit,Female,597
